TN Title,studio,genres,TN Worlwide Gross,TN Domestic Gross,Computed Foreign Gross,TN Budget / Cost,Computed_Profit_Loss,year,release_date
Mars Needs Moms,BV,"Adventure,Animation,Family",39549758,21392758,18157000,150000000,-110450242,2011,11-Mar-11
The Nutcracker in 3D,Free,"Action,Family,Fantasy",20466016,195459,20270557,90000000,-69533984,2010,24-Nov-10
Monster Trucks,Par.,"Action,Adventure,Comedy",61642798,33370166,28272632,125000000,-63357202,2017,13-Jan-17
R.I.P.D.,Uni.,"Action,Adventure,Comedy",79076678,33618855,45457823,130000000,-50923322,2013,19-Jul-13
Blackhat,Uni.,"Action,Crime,Thriller",19665004,8005980,11659024,70000000,-50334996,2015,16-Jan-15
Child 44,LG/S,"Crime,Drama,History",8004221,1224330,6779891,50000000,-41995779,2015,17-Apr-15
Jonah Hex,WB,"Action,Drama,Fantasy",11022696,10547117,475579,47000000,-35977304,2010,18-Jun-10
Rock Dog,LG/S,"Adventure,Animation,Comedy",24148488,9420546,14727942,60000000,-35851512,2017,24-Feb-17
King Arthur: Legend of the Sword,WB,"Action,Adventure,Drama",139630336,39175066,100455270,175000000,-35369664,2017,12-May-17
Shanghai,Wein.,"Crime,Drama,Mystery",15505922,46425,15459497,50000000,-34494078,2015,2-Oct-15
Shanghai,Wein.,"Crime,Mystery,Thriller",15505922,46425,15459497,50000000,-34494078,2015,2-Oct-15
Shanghai,Wein.,Drama,15505922,46425,15459497,50000000,-34494078,2015,2-Oct-15
The Warrior's Way,Rela.,"Action,Fantasy,Western",8514325,5666340,2847985,42000000,-33485675,2010,3-Dec-10
Deepwater Horizon,LG/S,"Action,Drama,History",122603824,61433527,61170297,156000000,-33396176,2016,30-Sep-16
The Big Year,Fox,Comedy,7684524,7204138,480386,41000000,-33315476,2011,14-Oct-11
Playing for Keeps,FD,"Comedy,Romance,Sport",2000000,2000000,0,35000000,-33000000,2012,3-Oct-86
Bullet to the Head,WB,"Action,Crime,Thriller",22597969,9489829,13108140,55000000,-32402031,2013,1-Feb-13
Welcome to Marwen,Uni.,"Biography,Comedy,Drama",12874922,10763520,2111402,45000000,-32125078,2018,21-Dec-18
There Be Dragons,Gold.,"Biography,Drama,War",4020990,1069334,2951656,36000000,-31979010,2011,6-May-11
Mortdecai,LGF,"Action,Comedy,Crime",30396134,7696134,22700000,60000000,-29603866,2015,23-Jan-15
Bilal: A New Breed of Hero,VE,"Action,Adventure,Animation",648599,490973,157626,30000000,-29351401,2018,2-Feb-18
The Infiltrator,BG,"Biography,Crime,Drama",20718104,15436808,5281296,47500000,-26781896,2016,13-Jul-16
Free State of Jones,STX,"Action,Biography,Drama",23237252,20810036,2427216,50000000,-26762748,2016,24-Jun-16
Machine Gun Preacher,Rela.,"Action,Biography,Crime",3721988,538690,3183298,30000000,-26278012,2011,23-Sep-11
The Sisters Brothers,Annapurna,"Adventure,Comedy,Crime",13143056,3143056,10000000,38000000,-24856944,2018,21-Sep-18
Your Highness,Uni.,"Adventure,Comedy,Fantasy",26121638,21596445,4525193,50000000,-23878362,2011,8-Apr-11
Collide,ORF,Action,5466698,2280004,3186694,29200000,-23733302,2017,24-Feb-17
Collide,ORF,"Action,Crime,Thriller",5466698,2280004,3186694,29200000,-23733302,2017,24-Feb-17
Paranoia,Rela.,,16340767,7388654,8952113,40000000,-23659233,2013,16-Aug-13
Paranoia,Rela.,Drama,16340767,7388654,8952113,40000000,-23659233,2013,16-Aug-13
Paranoia,Rela.,"Drama,Thriller",16340767,7388654,8952113,40000000,-23659233,2013,16-Aug-13
Paranoia,Rela.,Horror,16340767,7388654,8952113,40000000,-23659233,2013,16-Aug-13
Paranoia,Rela.,"Horror,Mystery,Thriller",16340767,7388654,8952113,40000000,-23659233,2013,16-Aug-13
Paranoia,Rela.,Thriller,16340767,7388654,8952113,40000000,-23659233,2013,16-Aug-13
Upside Down,MNE,"Biography,Documentary,Family",26387039,102118,26284921,50000000,-23612961,2013,15-Mar-13
Upside Down,MNE,Comedy,26387039,102118,26284921,50000000,-23612961,2013,15-Mar-13
Upside Down,MNE,Documentary,26387039,102118,26284921,50000000,-23612961,2013,15-Mar-13
Upside Down,MNE,Drama,26387039,102118,26284921,50000000,-23612961,2013,15-Mar-13
Upside Down,MNE,"Drama,Fantasy,Romance",26387039,102118,26284921,50000000,-23612961,2013,15-Mar-13
The Rum Diary,FD,"Comedy,Drama",21544732,13109815,8434917,45000000,-23455268,2011,28-Oct-11
47 Ronin,Uni.,"Action,Adventure,Drama",151716815,38362475,113354340,175000000,-23283185,2013,25-Dec-13
A Hologram for the King,RAtt.,"Comedy,Drama,Romance",11846010,4212494,7633516,35000000,-23153990,2016,22-Apr-16
Blood Ties,ALP,Action,2923959,42472,2881487,26000000,-23076041,2011,21-Mar-14
Blood Ties,ALP,"Action,Crime,Drama",2923959,42472,2881487,26000000,-23076041,2011,21-Mar-14
Blood Ties,ALP,Documentary,2923959,42472,2881487,26000000,-23076041,2011,21-Mar-14
Blood Ties,ALP,"Documentary,Drama,Family",2923959,42472,2881487,26000000,-23076041,2011,21-Mar-14
Blood Ties,ALP,Drama,2923959,42472,2881487,26000000,-23076041,2011,21-Mar-14
Unfinished Business,Fox,"Comedy,Drama",13214051,10219501,2994550,35000000,-21785949,2015,6-Mar-15
Unfinished Business,Fox,Drama,13214051,10219501,2994550,35000000,-21785949,2015,6-Mar-15
Unfinished Business,Fox,"Drama,Family",13214051,10219501,2994550,35000000,-21785949,2015,6-Mar-15
Unfinished Business,Fox,"Fantasy,Thriller",13214051,10219501,2994550,35000000,-21785949,2015,6-Mar-15
